id;latitude;longitude
3301442797;53,59172;9,948414
3326950335;53,55499;9,960413
3326950383;53,55509;9,959928
3326950401;53,55509;9,960056
3326950403;53,55507;9,960066
3326950408;53,5551;9,959991
3406236403;53,59578;10,05535
3489298856;53,48212;10,16612
3524008205;53,57753;9,829477
3578105524;53,55824;9,903035
3588464636;53,61214;9,904138
3590743133;53,61516;9,907525
3594305531;53,50745;9,988021
3603766737;53,60725;9,909812
3603766747;53,60729;9,910963
3603767107;53,60756;9,911128
3618094715;53,60497;9,911666
3618094716;53,6051;9,910479
3618094717;53,60514;9,911117
3618094722;53,60539;9,911604
3618094833;53,60406;9,911235
3618094900;53,60485;9,910634
3620995409;53,59977;9,902458
3620995477;53,60034;9,901353
3630099796;53,60319;9,900894
3652550392;53,55878;10,06097
3657465139;53,58887;10,06824
3662947898;53,44715;10,228
3692431321;53,55522;9,958889
3692431322;53,55519;9,958789
3692431323;53,55525;9,958731
3692431324;53,55524;9,958724
3712192940;53,53819;10,10761
3733677381;53,54597;10,07356
3733677382;53,54599;10,07425
3733677385;53,54604;10,07362
3733677393;53,54613;10,07433
3733677394;53,54615;10,0737
3733677395;53,54616;10,07354
3733677396;53,54617;10,07433
3733677397;53,54618;10,07369
3733677400;53,54619;10,07433
3733677402;53,54619;10,07433
3733677403;53,54628;10,07351
3733677405;53,54634;10,07356
3733677406;53,54634;10,07359
3777280112;53,59229;9,949236
3961964978;53,48607;10,21144
3975607836;53,57335;10,07684
3975607840;53,5738;10,07697
3988906759;53,55059;9,940986
3999452691;53,48279;10,12876
4009782392;53,59186;9,948712
4028778747;53,58114;9,960676
4031015367;53,486;10,02316
4031015368;53,48601;10,02248
4044400224;53,5763;10,12374
4074236188;53,58073;10,0859
4102208084;53,59703;9,951324
4173464983;53,47086;9,845919
4184245061;53,59618;10,0019
4217792577;53,55811;10,081
4225882358;53,59827;10,09394
4282573029;53,54122;10,00571
4319661787;53,58847;10,07774
4435066480;53,46735;9,967537
4490991684;53,55248;10,06131
4499328410;53,67724;10,12051
4533907628;53,68041;9,998631
4585652304;53,55762;10,06124
4585652305;53,5576;10,06124
4585652306;53,55782;10,06122
4585652307;53,55754;10,06109
4598036587;53,45011;10,29719
4646857487;53,60466;10,0526
4684389894;53,6488;9,912116
4684389991;53,64236;9,922168
4692627727;53,56533;9,856934
4810449773;53,55755;9,904878
4827752972;53,56656;9,755202
4827752974;53,56655;9,755323
4827752976;53,56674;9,755629
4827753835;53,56666;9,755541
4827753836;53,56663;9,755259
4827753917;53,56793;9,755454
4827753918;53,56785;9,755372
4827753919;53,56798;9,755044
4827753920;53,56794;9,755141
4866067871;53,56658;9,755095
5007316794;53,56933;10,01157
5051665879;53,58539;10,06287
5064249643;53,48811;10,14885
5085137055;53,55547;9,916179
5120234055;53,59619;10,00044
5120240140;53,59627;9,998338
5120346994;53,60094;9,998437
5153214333;53,58176;9,785063
5153214361;53,58367;9,782388
5161648538;53,52996;9,888242
5174415921;53,54502;9,991087
5179765812;53,54526;10,05497
5179765813;53,54524;10,0549
5179773870;53,54551;10,05585
5179784001;53,5454;10,05552
5179788879;53,54487;10,05371
5179798668;53,54497;10,05404
5179830286;53,54628;10,05739
5179875428;53,54679;10,05861
5179875431;53,54666;10,05865
5179875432;53,54665;10,05873
5179875440;53,54658;10,0588
5179875442;53,5468;10,05846
5179875444;53,54662;10,05857
5268897737;53,50328;10,20684
5323586012;53,54036;9,996107
5323586013;53,54005;9,994526
5323586015;53,54016;9,995072
5323586016;53,54027;9,995588
5323586017;53,54026;9,995548
5323586018;53,54029;9,995668
5323586019;53,54033;9,995778
5323586020;53,54031;9,995981
5323586821;53,54028;9,996176
5323586832;53,54005;9,995146
5339076595;53,43929;10,01028
5412750317;53,59255;10,03452
5413082802;53,48494;10,16629
5413118512;53,48703;10,15777
5413118513;53,48631;10,15758
5418308571;53,60435;10,1546
5435049949;53,67715;10,01677
5506376622;53,63654;9,961699
5552064436;53,47767;9,882934
5578918491;53,61546;10,11285
5578922157;53,61527;10,11065
5658214255;53,54066;10,11209
5658214256;53,54027;10,11135
5713420513;53,54507;10,10466
5734699278;53,59166;10,03604
5734699288;53,59318;10,03555
5734699290;53,59576;10,03493
5734699304;53,59437;10,03523
5744517733;53,5675;10,09318
5744517734;53,56762;10,09373
5744517735;53,56763;10,09367
5744517736;53,5676;10,09359
5744517737;53,56756;10,09361
5744517738;53,56746;10,09322
5744517743;53,56756;10,09376
5744517744;53,56754;10,09369
5744517746;53,56754;10,09332
5744517747;53,56745;10,09335
5745203859;53,56838;10,0826
5745203860;53,56849;10,08268
5745203861;53,56842;10,08264
5745203871;53,56841;10,08277
5762037043;53,56749;9,886709
5768972063;53,54122;10,0055
5779538435;53,57221;9,83598
5792026488;53,58589;9,831619
5792052242;53,58613;9,831638
5812800632;53,65219;10,00434
5813515042;53,51591;9,811664
5820762461;53,59358;10,03433
5820762503;53,59491;10,03401
5820762504;53,59503;10,03398
5824986542;53,6107;10,17547
5824986545;53,61063;10,17539
5833509590;53,47883;9,879487
5835701152;53,48533;10,02262
5840528596;53,55885;9,938386
5841833022;53,44119;10,0037
5841833023;53,44059;10,00245
5846518479;53,61733;10,14755
5846518480;53,6174;10,14765
5846520062;53,61728;10,14776
5849912279;53,47621;9,857031
5900359264;53,59499;9,954403
5906642608;53,61159;9,971884
5909631531;53,63675;10,07911
5916330136;53,55642;10,0252
5939371322;53,67629;10,00742
5939371341;53,67639;10,00665
5942858928;53,6513;10,01125
5951829684;53,54001;10,00881
5961709160;53,59514;10,03508
5961709161;53,59506;10,03512
5961709162;53,59565;10,03507
5961709163;53,59422;10,03419
5962067222;53,60594;10,02301
5968930461;53,57651;10,12367
5974671225;53,57649;10,13829
5982939900;53,63639;10,07939
5982939901;53,63639;10,07945
5983389253;53,63632;9,97731
5989802526;53,63142;10,03804
5989802527;53,63132;10,03788
5989802572;53,63154;10,0379
5992641523;53,61202;10,15305
5992641542;53,61105;10,15121
6013439781;53,6406;9,991935
6017474107;53,5807;9,989421
6017701810;53,57819;9,98349
6017701811;53,5783;9,983546
6036473830;53,54768;9,953823
6036536816;53,55427;9,92999
6112975419;53,55784;10,07872
6116397320;53,61507;10,06148
6117099012;53,54183;10,0052
6117100753;53,54281;10,00448
6117100754;53,54293;10,00433
6117100787;53,54397;10,00397
6117100788;53,54389;10,00403
6117100789;53,54395;10,00383
6117100790;53,54384;10,00383
6117100791;53,5438;10,00395
6126833532;53,538;10,01529
6126833533;53,53798;10,01535
6126833534;53,53797;10,01541
6137226551;53,59321;10,10578
6158462397;53,62862;10,10953
6158462502;53,62942;10,11968
6162375711;53,61614;9,941283
6162375725;53,61668;9,941002
6162375726;53,61669;9,941106
6162375744;53,6163;9,941474
6162375745;53,61658;9,941243
6162375746;53,61657;9,941179
